#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Private,Description
56345,openSUSE Leap 15.2,action,"",New,Normal,update copyright year in release notes,lnussel,lkocman,16/01/2020 03:02 pm,Documentation,Beta,31/12/2019,30/01/2020,"",0.00,0,02/09/2019 01:08 pm,"",Copied from #39479,No,"Make sure current year and release date are correct

https://doc.opensuse.org/release-notes/x86_64/openSUSE/Leap/15.1/"
56339,openSUSE Leap 15.2,action,"",New,Normal,notify all package maintainers that their package is in Leap,lnussel,"",02/09/2019 01:07 pm,Release Engineering,Beta,02/03/2020,13/03/2020,"",0.00,0,02/09/2019 01:07 pm,"",Copied from #39467,No,"notify all maintainers who have packages in Leap about the fact

https://github.com/openSUSE/openSUSE-release-tools/blob/master/devel-project.py"
56336,openSUSE Leap 15.2,action,"",New,Normal,update rpm-groups.pot,lnussel,"",02/09/2019 01:07 pm,Translations,Beta,02/03/2020,18/04/2020,"",0.00,0,02/09/2019 01:07 pm,"",Copied from #39455,No,"rpm-groups.pot is not created automatically. Run once to generate the pot file

https://github.com/yast/yast-translations"
56333,openSUSE Leap 15.2,action,"",New,Normal,notify cloud/container/appliance teams of the upcoming release,lnussel,"",02/09/2019 01:07 pm,Release Engineering,Beta,31/01/2020,31/01/2020,"",0.00,0,02/09/2019 01:07 pm,"",Copied from #39452,No,"There is a number of clouds/3rd party hosting out there where openSUSE is
available as option. The responsible people need to be notified of the
schedule in time:

Contacts:
Azure: Alexander Osthof
EC2: Robert Schweickert
Docker: Fabian Vogt
WSL: Rich Williams
Vagrant: Dan Cermak"
56330,openSUSE Leap 15.2,action,"",New,Normal,enable openQA maintenance testing,lnussel,"",05/09/2019 01:26 pm,QA,Beta,09/03/2020,03/04/2020,"",0.00,0,02/09/2019 01:07 pm,"",Copied from #39449,No,openQA and the bot needs to be set up to also test maintenance updates for the new release
56327,openSUSE Leap 15.2,action,"",New,Normal,verify betaversion in product files,lnussel,"",13/11/2019 02:36 pm,Release Engineering,Beta,03/02/2020,04/02/2020,"",0.00,0,02/09/2019 01:06 pm,"",Copied from #39431,No,"openSUSE:Leap:42.2/_product/*.product need to refer to the correct snapshot name in the <betaversion> tag
also change the PublishFlags setting

Changes there will trigger rebuild so has to be done in advance"
56324,openSUSE Leap 15.2,action,"",New,Normal,submit translation packages,lnussel,"",02/09/2019 01:06 pm,Translations,Beta,02/03/2020,06/03/2020,"",0.00,0,02/09/2019 01:06 pm,"",Copied from #39419,No,"Packages that contain translations may need to be updated and submitted

* [] system:install:head/package-translations
* [] X11:common:Factory/desktop-translations
* [] YaST:Head/yast2-trans
* [] system:install:head/yast2-slide-show
* [] system:install:head/skelcd-openSUSE
* [] devel:openSUSE:Factory/openSUSE-EULAs
"
56321,openSUSE Leap 15.2,action,"",New,Normal,submit translation packages,lnussel,"",02/09/2019 01:05 pm,Translations,Beta,03/02/2020,12/02/2020,"",0.00,0,02/09/2019 01:05 pm,"",Copied from #39416,No,"Packages that contain translations may need to be updated and submitted

* package-translations
* desktop-translations : X11:common:Factory
* yast2-trans : YaST:Head
* yast2-slide-show : system:install:head
* skelcd-openSUSE : system:install:head
* openSUSE-EULAs: devel:openSUSE:Factory"
56318,openSUSE Leap 15.2,action,"",New,Normal,Security Audit,lnussel,jsegitz,02/09/2019 03:10 pm,Security,Beta,17/02/2020,21/02/2020,"",0.00,0,02/09/2019 01:05 pm,"",Copied from #39413,No,"Security needs to take a look at the current snapshot

https://bugzilla.suse.com/show_bug.cgi?id=1090647
https://pes.suse.de/Maintenance-Security/Products/leap_sles/"
56315,openSUSE Leap 15.2,action,"",New,Normal,check which packages turned into a fork,lnussel,lkocman,16/01/2020 03:03 pm,Release Engineering,Beta,13/01/2020,27/03/2020,"",0.00,0,02/09/2019 01:05 pm,"",Copied from #39410,No,"Some packages in 15.0 turned into a Fork after the lookup file for 15.1 was created. Update crawler would therefore continue to try to submit from the original location instead of 15.0.

So the lookup file of 15.1 needs to be checked for forks. Maybe maintenance can help."
56312,openSUSE Leap 15.2,action,"",New,Normal,Publish announcement of Beta,lnussel,"",02/09/2019 01:04 pm,Marketing,Beta,31/01/2020,31/01/2020,"",0.00,0,02/09/2019 01:04 pm,"",Copied from #39404,No,internally and externally
56309,openSUSE Leap 15.2,action,"",New,Normal,tell nvidia packager to upload drivers,lnussel,"",02/09/2019 01:04 pm,Release Engineering,Beta,03/02/2020,14/02/2020,"",0.00,0,02/09/2019 01:04 pm,"",Copied from #39401,No,the nvidia drivers need to be uploaded as soon as the kernel ABI is stable enough
56303,openSUSE Leap 15.2,action,"",New,Normal,Call for testing - BetaPizza Parties,lnussel,"",02/09/2019 01:04 pm,Marketing,Beta,10/02/2020,28/02/2020,"",0.00,0,02/09/2019 01:04 pm,"",Copied from #39389,No,""
56300,openSUSE Leap 15.2,action,"",New,Normal,get signed shim,lnussel,"",20/12/2019 10:47 am,Release Engineering,Beta,24/01/2020,27/03/2020,"",0.00,0,02/09/2019 01:03 pm,"",Copied from #39383,No,"Talk to security to request and submit a properly signed shim

Shim is mean to be built on a stable distro, eg $Leap-.1. During the submission period to Microsoft it may not be possible to update some packages, eg binutils or openssl to make sure the build stays reproducible. After acquiring the new signature, submit shim to the stable distro to get it officially built and released. Fetch the rpm and put it in the ""shim-leap"" package for repacking in other code streams like $Leap and TW."
56297,openSUSE Leap 15.2,action,"",New,Normal,call for translation,lnussel,"",02/09/2019 01:03 pm,Translations,Beta,28/02/2020,06/03/2020,"",0.00,0,02/09/2019 01:03 pm,"",Copied from #39380,No,"The most important languages in the distro, esp those on the DVD need to be translated. Remind translation teams.

https://en.opensuse.org/openSUSE:Localization_status"
56294,openSUSE Leap 15.2,action,"",New,Normal,verify release notes correctly setup,lnussel,"",02/09/2019 01:03 pm,Documentation,Beta,06/07/2019,30/08/2019,"",0.00,0,02/09/2019 01:03 pm,"",Copied from #39377,No,"make sure release notes for the new release appear in
https://doc.opensuse.org/release-notes/x86_64/openSUSE/"
56288,openSUSE Leap 15.2,action,"",New,Normal,add new release to OBS distributions,lnussel,lkocman,16/01/2020 03:02 pm,Infrastructure,Beta,26/12/2019,29/01/2020,"",0.00,0,02/09/2019 01:03 pm,"",Copied from #39368,No,"obs needs a button to easily add the new distro as build repo. Eg. https://build.opensuse.org/project/add_repository_from_default_list/Base:System

Talk to Adrian or some other build service admin
"
61599,openSUSE Leap 15.2,action,"",New,Normal,update desktop file translations,lnussel,"",20/12/2019 01:04 pm,Translations,RC,20/04/2020,20/04/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #50840,No,"* in weblate commit all pending changes

In desktop-file-translations:

* check 51-xml/download_data.sh
* export password
* run make
* verify and check"
61593,openSUSE Leap 15.2,action,"",New,Normal,clean up build fails,lnussel,"",20/12/2019 01:04 pm,Release Engineering,RC,06/04/2020,08/04/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #50513,No,"be more agressive with build fails
- harass maintainers
- wipebinaries of failed packages after checking whatdependson
- wipebinaries of unresolvables
- file delete requests"
61590,openSUSE Leap 15.2,action,"",New,Normal,set up redirects for repository structure on download.o.o,lnussel,"",20/12/2019 01:03 pm,Infrastructure,RC,07/04/2020,10/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #50444,No,"The paths referenced in this view:
https://api.opensuse.org/public/source/openSUSE:Leap:15.1/000product?view=productrepositories&product=openSUSE

should be reflected on http://download.opensuse.org/repositories/

Should be just a matter of installing some redirects."
61587,openSUSE Leap 15.2,action,"",New,Normal,eliminate duplicate binaries,lnussel,"",20/12/2019 01:03 pm,Release Engineering,RC,14/02/2020,21/02/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #48326,No,"packages with duplicate binaries need to be cleaned up as OBS has undefined behavior with those

https://build.opensuse.org/package/view_file/openSUSE:Leap:15.1:Staging/dashboard/duplicate_binaries?expand=1"
61569,openSUSE Leap 15.2,action,"",New,Normal,compile a list of packages that are from sle but not maintained there,lnussel,"",20/12/2019 01:03 pm,Release Engineering,RC,12/02/2020,01/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47819,No,some packages are marked as coming from SLE even though not all or none of it's source packages are actually maintained there. Need to compute a list and discuss with maintenance.
61566,openSUSE Leap 15.2,action,"",Feedback,Normal,update branding,lnussel,hellcp,03/02/2020 03:31 pm,Design,RC,22/08/2019,06/03/2020,"",0.00,90,20/12/2019 01:03 pm,"",Copied from #47816,No,"the new release needs a new branding

* <del>yast color scheme</del>
* <del>yast headline image</del>
* wallpapers
  * KDE
  * GNOME
  * icewm
* plymouth boot splash screen
* grub2 theme
* syslinux theme
* displaymanager themes
  * sddm
  * gdm
  * lightdm"
61542,openSUSE Leap 15.2,action,"",New,Normal,make sure new maintenance packages end up in the release,lnussel,"",20/12/2019 01:03 pm,Maintenance,RC,12/03/2020,15/03/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47792,No,maintenance probably released several packages that are new in the previous release. We need to make sure to collect them for the new release
61518,openSUSE Leap 15.2,action,"",New,Normal,release manager checklist,lnussel,"",20/12/2019 01:03 pm,Infrastructure,RC,20/04/2020,20/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47768,No,"To branch the current ftp tree and isos for a milestone, log in to download.opensuse.org as mirror user and run:

    distro_hardlink_copy 42.2-Current 42.2-RC1

Remove x bit for others from the directory so only staging mirrors can pull it but it's not visible on download.o.o

on release day every once in a while scan for mirrors as mirror user:

    mb scan -a -d /distribution/leap/42.2-RC1 -j4

In the morning add the x bit again to make the content show up and give mirrors time to catch up adding the x bit.

At release time:

- change the symlink to the new milestone

  distro_symlink 42.2 42.2-RC1

- sync the staging are to the area shown in download.opensuse.org

    publish_opensuse

You may want to add '-n' before to check what it's doing and not deleting files"
61515,openSUSE Leap 15.2,action,"",New,Normal,enable OBS:Maintained attribute in :Update project,lnussel,"",20/12/2019 01:03 pm,Maintenance,RC,04/05/2020,04/05/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47765,No,"The :Update project needs to have

    <attributes>
    <attribute name=""Maintained"" namespace=""OBS""/>
    <attribute name=""BranchTarget"" namespace=""OBS""/>
    <attribute name=""ApprovedRequestSource"" namespace=""OBS""/>
    </attributes>

=>

    $ osc meta attribute -c -a OBS:Maintained openSUSE:Leap:15.1:Update

And set update project:

    $ osc meta attribute -c -a OBS:UpdateProject -s openSUSE:Leap:15.1:Update openSUSE:Leap:15.1"
61509,openSUSE Leap 15.2,action,"",New,Normal,remove beta marks,lnussel,"",20/12/2019 01:03 pm,Release Engineering,RC,01/04/2020,07/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47759,No,"* remove %_with_betatest from prjconf
* remove beta tag from openSUSE.product
* remove BETA=1 from openQA"
61506,openSUSE Leap 15.2,action,"",New,Normal,verify release counters for update,lnussel,"",20/12/2019 01:02 pm,Release Engineering,RC,29/03/2020,04/04/2020,"",0.00,0,20/12/2019 01:02 pm,"",Copied from #47756,No,release number needs to be higher than in previous distributions. Make sure the are. mls knows how to.
61503,openSUSE Leap 15.2,action,"",New,Normal,openSUSE-EULAs up to date,lnussel,"",20/12/2019 01:02 pm,Release Engineering,RC,28/03/2020,30/04/2020,"",0.00,0,20/12/2019 01:02 pm,"",Copied from #47753,No,"devel:openSUSE:Factory/openSUSE-EULAs needs to be up to date to include all relevant licenses. Ie licenses that require explicit agreement via dialog by the user. That affects mostly packages in the openSUSE:Leap:15.0:NonFree project.

The sources are at github: https://github.com/openSUSE/openSUSE-EULAs"
61500,openSUSE Leap 15.2,action,"",New,Normal,submit translation packages,lnussel,"",20/12/2019 01:02 pm,Translations,RC,08/04/2020,14/04/2020,"",0.00,0,20/12/2019 01:02 pm,"",Copied from #47750,No,"Packages that contain translations may need to be updated and submitted

- package-translations : system:install:head
- desktop-translations : X11:common:Factory
- yast2-trans : YaST:Head                    (submit directly to YaST:Head, it does not accept SRs)
- skelcd-openSUSE : system:install:head
- openSUSE-EULAs : devel:openSUSE:Factory

    
    osc rm *.tar.?z
    osc service dr
    osc addremove
    osc vc         # beautify *.changes: 'M-x sort-lines' and 'M-x delete-duplicate-lines'
    osc ci
    osc sr
"
61314,openSUSE Leap 15.2,action,"",New,Normal,Security Audit,lnussel,"",20/12/2019 01:00 pm,Security,RC,02/04/2020,17/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47561,No,Security needs to take a look at the current snapshot
61284,openSUSE Leap 15.2,action,"",New,Normal,verify piwik works,lnussel,"",20/12/2019 01:00 pm,Marketing,RC,17/04/2020,17/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47528,No,""
61278,openSUSE Leap 15.2,action,"",New,Normal,submit translation packages,lnussel,"",20/12/2019 01:00 pm,Translations,RC,28/03/2020,03/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47519,No,"Packages that contain translations may need to be updated and submitted

- package-translations : system:install:head
- desktop-translations : X11:common:Factory
- yast2-trans : YaST:Head                    (submit directly to YaST:Head, it does not accept SRs)
- skelcd-openSUSE : system:install:head
- openSUSE-EULAs : devel:openSUSE:Factory

    
    osc rm *.tar.gz
    osc service dr
    osc addremove
    osc vc         # beautify *.changes: 'M-x sort-lines' and 'M-x delete-duplicate-lines'
    osc ci
    osc sr"
61275,openSUSE Leap 15.2,action,"",New,Normal,make sure nvidia packages are ready for GA,lnussel,"",20/12/2019 12:59 pm,Release Engineering,RC,30/03/2020,10/04/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #47516,No,NVidia drivers are nowadays usually ready way before GA. Ping the driver maintainer to make sure that is the case actually.
61272,openSUSE Leap 15.2,action,"",New,Normal,merge back maintenance updates,lnussel,"",20/12/2019 12:59 pm,Release Engineering,RC,29/03/2020,29/03/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #47513,No,"maintenance updates from the update project need to be merged back into the main repo

* use osc checkupdate (https://github.com/coolo/factory-auto/osc-plugin-checkupdate.py) to find updated packages
* copy them back using 'osc copypac -e openSUSE:13.2:Update openSUSE:13.2 -m ""Update to match Update channel update#.""'; On purpose do it by hand without automation to avoid screwups
* adjust the release number to be higher than in the update repo using FIXME¹
* remove updates from the update repo by using ""osc killupdate NUMBER""


[1] adjust the release number by checking the state of the package 'osc getbinaries openSUSE:13.2:Update . standard x86_64' and then writting higher revision to .spec file. To submit this update to repository just use 'osc ci --noservice -m ""Add revision to ensure new-enough over Update channel.""'
There should be a way to do this by means of obs
"
61269,openSUSE Leap 15.2,action,"",New,Normal,make counter.o.o/link point to new portal,lnussel,"",20/12/2019 12:59 pm,Infrastructure,RC,16/03/2020,10/04/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #47510,No,"https://counter.opensuse.org/link/ should point to https://en.opensuse.org/Portal:15.1?pk_campaign=counter
"
61266,openSUSE Leap 15.2,action,"",New,Normal,prepare software.opensuse.org,lnussel,"",20/12/2019 12:59 pm,Infrastructure,RC,03/04/2020,03/04/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #47504,No,"prepare software.opensuse.org for RC1

* https://github.com/openSUSE/software-o-o, app/controllers/main_controller.rb
* Wait for package to build https://build.opensuse.org/package/show/openSUSE:infrastructure:software.opensuse.org/software_opensuse_org
* Deploy when mirrors are ready"
61260,openSUSE Leap 15.2,action,"",New,Normal,EULA review/update,lnussel,"",20/12/2019 12:59 pm,Release Engineering,RC,29/01/2020,28/03/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #47498,No,"Ask Legal to review and potentially adjust the EULA.

The request form can be found in innerweb

Current license is at https://github.com/openSUSE/skelcd-openSUSE/blob/master/license/license.txt

The year can be adjusted by means of sed before sending to Legal.

Wiki: https://en.opensuse.org/openSUSE:License"
61245,openSUSE Leap 15.2,action,"",New,Normal,announce package freeze,lnussel,"",20/12/2019 12:59 pm,Release Engineering,RC,30/03/2020,09/04/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #39461,No,send anounncement internally and externally to warn about the package freeze
61242,openSUSE Leap 15.2,action,"",New,Normal,enable countdown on www.opensuse.org,lnussel,"",20/12/2019 12:59 pm,Infrastructure,RC,02/03/2020,10/04/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #39458,No,the javascript countdown on www.opensuse.org needs to be enabled
61236,openSUSE Leap 15.2,action,"",Resolved,Normal,update OpenSUSE_Localization_Teams ,lnussel,AdaLovelace,11/02/2020 10:31 am,Translations,RC,24/01/2020,14/02/2020,"",0.00,100,20/12/2019 12:59 pm,11/02/2020 10:31 am,Copied from #39428,No,"Ping everyone listed in https://en.opensuse.org/OpenSUSE_Localization_Teams to make sure translation teams are aware of the release and are available

Fix the links to the statistics."
61233,openSUSE Leap 15.2,action,"",Resolved,Normal,update openSUSE:Localization_guide ,lnussel,AdaLovelace,28/01/2020 07:19 am,Translations,RC,20/01/2020,31/01/2020,"",0.00,100,20/12/2019 12:59 pm,28/01/2020 07:19 am,Copied from #39425,No,"Update https://en.opensuse.org/openSUSE:Localization_guide to document the Weblate workflow

When done, link it from https://en.opensuse.org/Portal:15.1"
61230,openSUSE Leap 15.2,action,"",New,Normal,disable Factory submitter,lnussel,"",20/12/2019 12:59 pm,Release Engineering,RC,08/04/2020,08/04/2020,"",0.00,0,20/12/2019 12:59 pm,"",Copied from #39422,No,disable the FCC submitter
62546,openSUSE Leap 15.2,action,"",New,High,old files kept in pontifex2:/srv/ftp/pub/opensuse/distribution/leap/15.2/repo/oss/,bmwiedemann,lkocman,22/01/2020 01:47 pm,Infrastructure,GM,22/01/2020,"","",0.00,0,22/01/2020 01:35 pm,"","",No,"I found that there are many old files kept in pontifex2:/srv/ftp/pub/opensuse/distribution/leap/15.2/repo/oss/

time ls -l /srv/ftp/pub/opensuse/distribution/leap/15.2/repo/oss/x86_64/|wc
 111800 1006193 10718652

real    1m18.951s
user    0m1.206s
sys     0m2.576s

vs the 20 k files in 15.1

OBS team (Marco) said, they upload their files to pontifex2 and there is only the latest version in the upload dir."
61617,openSUSE Leap 15.2,action,"",New,Normal,tag docker images,lnussel,"",20/12/2019 01:04 pm,Release Engineering,GM,13/05/2020,13/05/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #51587,No,"On the release day and time the new release needs to be marked latest in prjconf:

https://build.opensuse.org/project/prjconf/openSUSE:Containers:Leap

some bot also may need adjustment"
61614,openSUSE Leap 15.2,action,"",New,Normal,prepare GM on download server,lnussel,"",20/12/2019 01:04 pm,Release Engineering,GM,08/05/2020,09/05/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #51515,No,"Plan for 15.1

* log in to download.opensuse.org (pontifex) before ttm released GM to download.o.o!
* hardlink files from 15.1/iso into e.g. 15.1/iso-devel in ftp-stage
* wait for some mirrors to catch up
* sync the change to ftp
* install a redirect rule 15.1/iso into 15.1/iso-devel
* wait for ttm to release final build and publish_distro to do it's initial work
* disable rsync pushing for 15.1 in /etc/rsyncd-internal.conf so obs can't spoil the fun
* remove world access from iso/ so only staging mirrors can pull it
* disable publish_distro for 15.1 (~mirror/bin)
* rename iso images to final names"
61608,openSUSE Leap 15.2,action,"",New,Normal,remind maintenance to enable their update crawler,lnussel,"",20/12/2019 01:04 pm,Release Engineering,GM,04/05/2020,07/05/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #51422,No,maintenance needs to enable their update crawler as soon as we switch to maintenance mode
61605,openSUSE Leap 15.2,action,"",New,Normal,communicate submission for mainteance to maintenance,lnussel,"",20/12/2019 01:04 pm,Release Engineering,GM,04/05/2020,06/05/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #51419,No,Some submission may not have made it into GM. Communicate to maintenance to submit them as update instead.
61602,openSUSE Leap 15.2,action,"",New,Normal,create publish filter for NON_FTP_PACKAGES,lnussel,"",27/12/2019 10:41 am,Maintenance,GM,23/04/2020,06/05/2020,"",0.00,0,20/12/2019 01:04 pm,"",Copied from #50969,No,"need to add PublishFilter: lines to prjconf of the :Update project to prevent packages in NON_FTP_PACKAGES.group from publishing in maintenance updates

use nonftp2publishfilter.py tool"
61584,openSUSE Leap 15.2,action,"",New,Normal,clean up SLE-workarounds,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,14/04/2020,01/05/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47834,No,clean up the SLE-workarounds subproject. Check which packages got merged and remove them. Verify the remaining ones are progressing.
61581,openSUSE Leap 15.2,action,"",New,Normal,sync with SLE,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,06/04/2020,10/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47831,No,some packages accidentally diverge from sle. try to merge as many as possible
61578,openSUSE Leap 15.2,action,"",New,Normal,sync :NonFree,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,01/04/2020,07/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47828,No,I think we forgot to activate the update crawler for the :NonFree project. So we should sync with Factory at least once now.
61575,openSUSE Leap 15.2,action,"",New,Normal,eliminate duplicate binaries,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,01/04/2020,06/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47825,No,"packages with duplicate binaries need to be cleaned up as OBS has undefined behavior with those

https://build.opensuse.org/package/view_file/openSUSE:Leap:15.1:Staging/dashboard/duplicate_binaries?expand=1"
61572,openSUSE Leap 15.2,action,"",New,Normal,get rid of repochecker failures,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,31/03/2020,03/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47822,No,"remaining repo checker failures need to be fixed:
https://build.opensuse.org/package/view_file/openSUSE:Leap:15.1:Staging/dashboard/repo_checker

Also, the whitelist should be reviewed if it lists too much"
61560,openSUSE Leap 15.2,action,"",New,Normal,get iso images signed,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,07/05/2020,08/05/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47810,No,"* rename iso and .sha256 file to not include Build* anymore
* fix name in .sha256 files
* ask autobuild to sign the files"
61557,openSUSE Leap 15.2,action,"",New,Normal,turn off tools,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,04/05/2020,12/05/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47807,No,"* switch off bots
  * <del>totest manager</del>
  * <del>snapshot announcer</del>
  * <del>manager_42</del>
  * <del>update_crawler</del>
  * <del>build fail reminder</del>
  * <del>staging bot</del>
  * <del>staaging report</del>
* remove 15.1 from
  * <del>trigger rebuilds</del>
  * <del>pkglistgen</del>"
61548,openSUSE Leap 15.2,action,"",New,Normal,communicate translation deadline,lnussel,AdaLovelace,20/12/2019 03:18 pm,Translations,GM,15/04/2020,16/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47798,No,last translation packages should be submitted Monday of the GM week. So the deadline should be Sunday.
61539,openSUSE Leap 15.2,action,"",New,Normal,update instlux files,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,09/02/2020,06/03/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47789,No,the instlux files on the isos need to be updated to show the current version
61524,openSUSE Leap 15.2,action,"",New,Normal,submit translation packages,lnussel,"",20/12/2019 01:03 pm,Translations,GM,20/04/2020,20/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47774,No,"Packages that contain translations may need to be updated and submitted

* package-translations
* desktop-translations : X11:common:Factory
* yast2-trans : YaST:Head
* yast2-slide-show : system:install:head
* skelcd-openSUSE : system:install:head
* openSUSE-EULAs: devel:openSUSE:Factory "
61521,openSUSE Leap 15.2,action,"",New,Normal,release manager checklist for GA,lnussel,"",20/12/2019 01:03 pm,Release Engineering,GM,13/05/2020,13/05/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47771,No,"On download.o.o:

on release day every once in a while scan for mirrors as mirror user:

    mb scan -a -d /distribution/leap/15.1 -j4

In the morning of the release day add the access bits again to make the
content show up and give mirrors time to catch up adding the bits.

Remove the redirect rule before 12:00 UTC
"
61512,openSUSE Leap 15.2,action,"",New,Normal,translate openSUSE-EULAs,lnussel,"",20/12/2019 01:03 pm,Translations,GM,10/04/2020,12/04/2020,"",0.00,0,20/12/2019 01:03 pm,"",Copied from #47762,No,"Since we use openSUSE-EULAs for a warning text we also need a translation for it:
https://github.com/openSUSE/openSUSE-EULAs"
61497,openSUSE Leap 15.2,action,"",New,Normal,fix link on openqa.opensuse.org for goldmaster DVD,lnussel,"",20/12/2019 01:02 pm,QA,GM,08/05/2020,12/05/2020,"",0.00,0,20/12/2019 01:02 pm,"",Copied from #47747,No,the maintenance tests expect a goldmaster DVD. A hard or symlink was installed during beta phase at /var/lib/openqa/factory/iso/fixed that points to a specific build. Change the link to point to the iso that is the goldmaster.
61317,openSUSE Leap 15.2,action,"",New,Normal,Security Audit,lnussel,"",20/12/2019 01:00 pm,Security,GM,01/05/2020,03/05/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47567,No,Security needs to take a look at the current snapshot
61308,openSUSE Leap 15.2,action,"",New,Normal,evaluate results of manual testing with release manager,lnussel,"",20/12/2019 01:00 pm,QA,GM,22/04/2020,23/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47555,No,The results of the manual testing initiative should be talked over with the release manager to determine whether the release is ready for release.
61305,openSUSE Leap 15.2,action,"",New,Normal,call to update release notes,lnussel,"",20/12/2019 01:00 pm,Documentation,GM,19/04/2020,23/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47552,No,ask people to review and update https://doc.opensuse.org/release-notes/x86_64/openSUSE/Leap/42.3/ via https://github.com/openSUSE/release-notes-openSUSE
61302,openSUSE Leap 15.2,action,"",New,Normal,merge back maintenance updates,lnussel,"",20/12/2019 01:00 pm,Maintenance,GM,22/04/2020,24/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47549,No,"Caution: potentially outdated instructions. Nowadays it's mostly only deleting the obsolete test updates. May need to verify release numbers nevertheless.

maintenance updates from the update project need to be merged back into the main repo

* use osc checkupdate (https://github.com/coolo/factory-auto/osc-plugin-checkupdate.py) to find updated packages
* copy them back using 'osc copypac -e openSUSE:13.2:Update openSUSE:13.2 -m ""Update to match Update channel update#.""'; On purpose do it by hand without automation to avoid screwups
* adjust the release number to be higher than in the update repo using FIXME¹
* remove updates from the update repo by using ""osc killupdate NUMBER""


[1] adjust the release number by checking the state of the package 'osc getbinaries openSUSE:13.2:Update . standard x86_64' and then writting higher revision to .spec file. To submit this update to repository just use 'osc ci --noservice -m ""Add revision to ensure new-enough over Update channel.""'
There should be a way to do this by means of obs
"
61299,openSUSE Leap 15.2,action,"",New,Normal,verify test updates are removed from the patterns,lnussel,"",20/12/2019 01:00 pm,Release Engineering,GM,22/04/2020,24/04/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47546,No,verify that the Supplements in the test update pattern is gone. Should happen automatically via betatest macro but package may not be rebuilt. so better safe than sorry.
61296,openSUSE Leap 15.2,action,"",New,Normal,IPRQ,lnussel,"",20/12/2019 01:00 pm,Release Engineering,GM,15/04/2020,08/05/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47543,No,"create IPRQ document

Some information about IPRQ document:

  The IPRQ document is a SUSE internal document used for tracking Intellectual Property.

All ECR/IPRQ documents should be revised by Ciaran"
61293,openSUSE Leap 15.2,action,"",New,Normal,Send Gold Master announcement for developers,lnussel,"",20/12/2019 01:00 pm,Release Engineering,GM,07/05/2020,13/05/2020,"",0.00,0,20/12/2019 01:00 pm,"",Copied from #47540,No,send the information that 15.1 is Gold to opensuse-factory and devel@
